充電器グループID,施設ID,施設名,モデル,カテゴリー,利用月,日数,台数,稼働開始日,稼働終了日(手動),稼働時間(分),利用人数,利用回数,稼働率,1人あたりの利用分数,1回あたりの利用分数,平均利用頻度,ブランド,運営会社
10,18,【9/30サービス終了予定】二子玉川ライズP3駐車場,普通,商業施設,2024-11月,30.0,2.0,2022/09/30,2025/09/30,0.0,0,0,0.0,0.0,0.0,0.0,東急グループ,株式会社プラゴ
10,18,【9/30サービス終了予定】二子玉川ライズP3駐車場,普通,商業施設,2024-12月,31.0,2.0,2022/09/30,2025/09/30,0.0,0,0,0.0,0.0,0.0,0.0,東急グループ,株式会社プラゴ
10,18,【9/30サービス終了予定】二子玉川ライズP3駐車場,普通,商業施設,2025-1月,31.0,2.0,2022/09/30,2025/09/30,0.0,0,0,0.0,0.0,0.0,0.0,東急グループ,株式会社プラゴ
10,18,【9/30サービス終了予定】二子玉川ライズP3駐車場,普通,商業施設,2025-2月,28.0,2.0,2022/09/30,2025/09/30,0.0,0,0,0.0,0.0,0.0,0.0,東急グループ,株式会社プラゴ
10,18,【9/30サービス終了予定】二子玉川ライズP3駐車場,普通,商業施設,2025-3月,31.0,2.0,2022/09/30,2025/09/30,0.0,0,0,0.0,0.0,0.0,0.0,東急グループ,株式会社プラゴ
10,18,【9/30サービス終了予定】二子玉川ライズP3駐車場,普通,商業施設,2025-4月,30.0,2.0,2022/09/30,2025/09/30,0.0,0,0,0.0,0.0,0.0,0.0,東急グループ,株式会社プラゴ
10,18,【9/30サービス終了予定】二子玉川ライズP3駐車場,普通,商業施設,2025-5月,31.0,2.0,2022/09/30,2025/09/30,0.0,0,0,0.0,0.0,0.0,0.0,東急グループ,株式会社プラゴ
10,18,【9/30サービス終了予定】二子玉川ライズP3駐車場,普通,商業施設,2025-6月,30.0,2.0,2022/09/30,2025/09/30,0.0,0,0,0.0,0.0,0.0,0.0,東急グループ,株式会社プラゴ
10,18,【9/30サービス終了予定】二子玉川ライズP3駐車場,普通,商業施設,2025-7月,31.0,2.0,2022/09/30,2025/09/30,0.0,0,0,0.0,0.0,0.0,0.0,東急グループ,株式会社プラゴ
10,18,【9/30サービス終了予定】二子玉川ライズP3駐車場,普通,商業施設,2025-8月,31.0,2.0,2022/09/30,2025/09/30,0.0,0,0,0.0,0.0,0.0,0.0,東急グループ,株式会社プラゴ
10,18,【9/30サービス終了予定】二子玉川ライズP3駐車場,普通,商業施設,2025-9月,29.0,2.0,2022/09/30,2025/09/30,0.0,0,0,0.0,0.0,0.0,0.0,東急グループ,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2023-6月,30.0,1.0,2023/06/23,,565.8833,1,2,1.3099,565.8833,282.9417,2.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2023-7月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2023-8月,31.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
12,15,フォレストサンズ長瀞,普通,目的地,2023-9月,30.0,1.0,2023/06/23,,0.0,0,0,0.0,0.0,0.0,0.0,,株式会社プラゴ
